,Source airport ID,OutFlight,InFlight,TotalFlight,Airlines,Airport ID,Name,City,Country,IATA/FAA,Latitude,Longitude,Altitude
1100,5738.0,8.0,8.0,16.0,"['AA', 'DL', 'AF', 'US', 'KL', 'UA']",5738,Fayetteville Regional Grannis Field,Fayetteville,United States,FAY,34.9912,-78.8803,189
1101,4261.0,2.0,2.0,4.0,"['AA', 'US']",4261,Flagstaff Pulliam Airport,Flagstaff,United States,FLG,35.140318,-111.66923919999999,7015
1102,3533.0,175.0,177.0,352.0,"['DL', 'WN', 'BW', 'WS', 'DY', 'NK', 'FL', 'G4', 'TS', 'AA', 'AC', 'AF', 'AS', 'VS', 'AV', 'VX', 'AZ', 'F9', 'UP', 'US', 'KL', 'B6', 'UA']",3533,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,26.072582999999998,-80.15275,9
1103,3879.0,2.0,2.0,4.0,"['AA', 'US']",3879,Florence Rgnl,Florence,United States,FLO,34.185361,-79.723889,146
1104,4089.0,14.0,12.0,26.0,"['AA', 'DL', 'AF', 'FL', 'US', 'KL', 'WN', 'UA']",4089,Bishop International,Flint,United States,FNT,42.965424,-83.743629,782
1105,1948.0,13.0,13.0,26.0,"['AA', 'DL', 'UA', 'UP', 'US']",1948,Grand Bahama Intl,Freeport,Bahamas,FPO,26.558685999999998,-78.695553,7
1106,4009.0,13.0,13.0,26.0,"['AA', 'DL', 'G4', 'F9', 'US', 'UA']",4009,Sioux Falls,Sioux Falls,United States,FSD,43.582014,-96.74191400000001,1429
1107,3437.0,5.0,5.0,10.0,"['AA', 'DL', 'KL', 'US', 'AF']",3437,Fort Smith Rgnl,Fort Smith,United States,FSM,35.336583000000005,-94.36744399999999,469
1108,3497.0,2.0,2.0,4.0,"['AA', 'US']",3497,Garden City Rgnl,Garden City,United States,GCK,37.927528,-100.724417,2891
1109,1926.0,25.0,26.0,51.0,"['AA', 'AC', 'BA', 'P4', 'DL', 'US', 'B6', 'WS', 'KX', 'UA']",1926,Owen Roberts Intl,Georgetown,Cayman Islands,GCM,19.292778,-81.35775,8
1110,3467.0,15.0,15.0,30.0,"['AA', 'DL', 'UA', 'F9', 'US', 'AS', 'WN', 'FL']",3467,Spokane Intl,Spokane,United States,GEG,47.619861,-117.533833,2376
1111,3465.0,2.0,2.0,4.0,"['AA', 'US']",3465,East Texas Rgnl,Longview,United States,GGG,32.384014,-94.711486,365
1112,1941.0,7.0,6.0,13.0,"['AA', 'AC', 'DL', 'US', 'UP', 'UA']",1941,Exuma Intl,Great Exuma,Bahamas,GGT,23.562631,-75.87795799999999,9
1113,1738.0,6.0,6.0,12.0,"['AA', 'BA', 'ZB', 'U2']",1738,Gibraltar,Gibraltar,Gibraltar,GIB,36.151219,-5.349664,15
1114,4063.0,8.0,8.0,16.0,"['AA', 'DL', 'G4', 'UA', 'US']",4063,Grand Junction Regional,Grand Junction,United States,GJT,39.122413,-108.52673500000002,4858
1115,534.0,100.0,96.0,196.0,"['BE', 'DL', 'BA', 'DE', 'U2', 'US', 'TOM', 'FI', 'WX', 'AZ', 'TCX', 'TS', 'LH', 'TO', 'LS', 'AA', 'EI', 'EK', 'AF', 'VS', 'IB', 'KM', 'KL', 'W6', 'QF', 'UA']",534,Glasgow,Glasgow,United Kingdom,GLA,55.87194399999999,-4.433056,26
1116,2882.0,14.0,15.0,29.0,"['AA', 'AC', 'BA', 'DL', 'US', 'LI', 'V0', 'BW', 'VS', 'IB']",2882,Point Salines Intl,Point Salines,Grenada,GND,12.004247,-61.78619200000001,41
1117,3472.0,10.0,10.0,20.0,"['AA', 'DL', 'AF', 'US', 'KL', 'AZ', 'UA']",3472,Gainesville Rgnl,Gainesville,United States,GNV,29.690056,-82.271778,152
1118,4038.0,9.0,9.0,18.0,"['AA', 'DL', 'AF', 'US', 'KL', 'AZ', 'UA']",4038,Gulfport-Biloxi,Gulfport,United States,GPT,30.407278,-89.070111,28
1119,3653.0,8.0,8.0,16.0,"['AA', 'DL', 'AF', 'US', 'KL', 'UA']",3653,Austin Straubel Intl,Green Bay,United States,GRB,44.485071999999995,-88.129589,695
